topology,algorithm,link sec ratio,num of calls,load,round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
6N8L,SASP,   0.400, 10000.000,   60.000,    6.000,   22.600,    0.000,    0.000,   22.600,    1.368,   12.609,    0.000,    0.200,    0.000,    0.500,    0.000,   67.734,  100.000,   43.370,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,    7.000,   21.850,    0.000,    0.000,   21.850,    1.381,   11.705,    0.000,    0.194,    0.000,    0.500,    0.000,   67.182,  100.000,   42.110,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,    8.000,   22.570,    0.000,    0.000,   22.570,    1.363,   12.181,    0.000,    0.192,    0.000,    0.500,    0.000,   67.074,  100.000,   41.608,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,    9.000,   22.050,    0.000,    0.000,   22.050,    1.375,   12.086,    0.000,    0.193,    0.000,    0.500,    0.000,   67.580,  100.000,   42.032,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   10.000,   22.020,    0.000,    0.000,   22.020,    1.388,   11.771,    0.000,    0.197,    0.000,    0.500,    0.000,   67.808,  100.000,   43.184,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   11.000,   21.630,    0.000,    0.000,   21.630,    1.400,   11.681,    0.000,    0.195,    0.000,    0.500,    0.000,   67.207,  100.000,   42.499,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   12.000,   21.940,    0.000,    0.000,   21.940,    1.375,   12.075,    0.000,    0.192,    0.000,    0.500,    0.000,   67.629,  100.000,   42.051,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   13.000,   22.090,    0.000,    0.000,   22.090,    1.363,   12.080,    0.000,    0.188,    0.000,    0.500,    0.000,   67.692,  100.000,   42.569,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   14.000,   21.960,    0.000,    0.000,   21.960,    1.376,   11.998,    0.000,    0.195,    0.000,    0.500,    0.000,   67.469,  100.000,   42.635,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   15.000,   21.140,    0.000,    0.000,   21.140,    1.401,   12.042,    0.000,    0.190,    0.000,    0.500,    0.000,   67.275,  100.000,   42.399,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   16.000,   22.180,    0.000,    0.000,   22.180,    1.374,   12.079,    0.000,    0.193,    0.000,    0.500,    0.000,   67.392,  100.000,   42.521,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   17.000,   21.650,    0.000,    0.000,   21.650,    1.397,   12.491,    0.000,    0.195,    0.000,    0.500,    0.000,   67.349,  100.000,   42.110,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   18.000,   21.900,    0.000,    0.000,   21.900,    1.376,   12.639,    0.000,    0.190,    0.000,    0.500,    0.000,   67.429,  100.000,   42.214,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   19.000,   21.540,    0.000,    0.000,   21.540,    1.405,   12.816,    0.000,    0.188,    0.000,    0.500,    0.000,   68.859,  100.000,   42.438,    0.000
6N8L,SASP,   0.400, 10000.000,   60.000,   20.000,   21.140,    0.000,    0.000,   21.140,    1.394,   11.630,    0.000,    0.194,    0.000,    0.500,    0.000,   68.003,  100.000,   42.565,    0.000
