topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,expected_security_exposure,total_security_cost,accepted,blocked,accepted_secure,blocked_secure
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,4.0,62,0.38,1.75,16.424242424242426,62,38,33,34
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,4.0,62,0.3,5.1875,15.857142857142858,70,30,42,25
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,37,0.4,2.375,16.24390243902439,60,40,41,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,37,0.5,1.3125,19.741935483870968,50,50,31,45
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,37,0.43,2.625,18.585365853658537,57,43,41,35
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,35,0.45,1.125,15.928571428571429,55,45,28,39
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,35,0.45,1.0625,17.655172413793103,55,45,29,38
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,35,0.53,0.625,24.08695652173913,47,53,23,44
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,9,0.45,3.0625,17.38888888888889,55,45,36,37
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,9,0.4,1.375,16.10810810810811,60,40,37,36
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,9,0.45,3.0625,17.38888888888889,55,45,36,37
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,65,0.39,3.0,18.055555555555557,61,39,36,29
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,65,0.53,0.3125,15.058823529411764,47,53,17,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,65,0.44,5.375,19.675675675675677,56,44,37,28
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,26,0.47,2.3125,20.22222222222222,53,47,27,40
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,26,0.51,1.0625,22.181818181818183,49,51,22,45
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,26,0.49,2.4375,19.083333333333332,51,49,24,43
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,34,0.44,2.8125,15.793103448275861,56,44,29,35
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,5.0,34,0.46,1.0625,15.12,54,46,25,39
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,5.0,34,0.4,2.75,14.666666666666666,60,40,33,31
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,5.0,73,0.45,1.75,15.357142857142858,55,45,28,39
