topology,algorithm,link sec ratio,num of calls,load,round,block_rate(t),block_rate(0),block_rate(1),block_rate(2),hop,link utilization,overused bw,security deviation (t),security deviation (0),security deviation (1),security deviation (2),exposure ratio(t),exposure ratio(0),exposure ratio(1),exposure ratio(2)
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,    2.000,    7.940,    0.172,    0.137,   25.987,    3.604,   77.074, 53920.000,    0.249,    0.483,    0.114,    0.000,   35.382,   75.262,    6.936,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,    3.000,    8.530,    0.257,    0.267,   26.823,    3.606,   80.567, 50590.000,    0.252,    0.485,    0.140,    0.000,   34.611,   75.051,    8.493,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,    4.000,    8.170,    0.324,    0.133,   26.855,    3.619,   78.364, 52430.000,    0.255,    0.487,    0.131,    0.000,   35.221,   74.705,    8.081,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,    5.000,    8.600,    0.176,    0.204,   27.358,    3.635,   77.710, 52470.000,    0.256,    0.489,    0.137,    0.000,   35.346,   75.322,    8.412,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,    6.000,    9.140,    0.504,    0.560,   29.243,    3.596,   77.043, 52400.000,    0.257,    0.490,    0.134,    0.000,   35.078,   74.382,    8.329,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,    7.000,    8.970,    0.229,    0.355,   29.549,    3.621,   77.709, 51870.000,    0.255,    0.480,    0.143,    0.000,   35.563,   75.283,    9.129,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,    8.000,    7.840,    0.174,    0.233,   25.970,    3.603,   79.469, 52900.000,    0.253,    0.486,    0.125,    0.000,   35.047,   74.525,    7.730,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,    9.000,    8.660,    0.250,    0.727,   28.015,    3.652,   77.541, 53020.000,    0.260,    0.486,    0.145,    0.000,   35.813,   75.174,    9.120,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  500.000,   10.000,    8.510,    0.228,    0.299,   27.294,    3.602,   75.543, 51470.000,    0.251,    0.481,    0.136,    0.000,   35.360,   75.673,    8.682,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,    1.000,    9.660,    0.674,    0.721,   31.169,    3.628,   84.548, 53560.000,    0.269,    0.493,    0.156,    0.000,   35.950,   74.034,    9.985,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,    2.000,   11.640,    1.258,    1.242,   36.266,    3.635,   83.086, 52680.000,    0.282,    0.495,    0.181,    0.000,   36.518,   73.219,   11.707,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,    3.000,   11.220,    0.986,    0.863,   34.861,    3.620,   84.730, 54330.000,    0.281,    0.505,    0.172,    0.000,   35.775,   72.776,   10.941,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,    4.000,   10.810,    0.799,    0.925,   34.423,    3.657,   83.427, 54380.000,    0.282,    0.501,    0.173,    0.000,   36.366,   73.209,   11.118,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,    5.000,   12.010,    1.640,    1.831,   35.724,    3.636,   83.262, 54040.000,    0.284,    0.500,    0.181,    0.000,   36.569,   72.877,   11.485,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,    6.000,   10.780,    1.243,    1.316,   32.792,    3.595,   82.925, 53170.000,    0.272,    0.494,    0.160,    0.000,   36.009,   73.564,    9.970,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,    7.000,   11.150,    1.097,    0.744,   34.620,    3.622,   84.636, 54310.000,    0.280,    0.501,    0.170,    0.000,   36.082,   72.933,   10.625,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,    8.000,   11.200,    1.511,    1.758,   34.751,    3.626,   84.011, 54670.000,    0.283,    0.502,    0.171,    0.000,   36.284,   72.815,   10.857,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,    9.000,   11.030,    1.272,    1.439,   33.611,    3.599,   81.820, 53700.000,    0.275,    0.495,    0.167,    0.000,   36.139,   73.414,   10.508,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  550.000,   10.000,   11.340,    0.758,    0.979,   36.089,    3.592,   82.055, 53020.000,    0.280,    0.499,    0.172,    0.000,   36.413,   73.436,   11.302,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,    1.000,   14.610,    3.016,    3.242,   40.285,    3.589,   86.689, 53140.000,    0.298,    0.509,    0.207,    0.000,   36.738,   71.876,   13.485,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,    2.000,   14.310,    2.760,    2.650,   40.489,    3.576,   86.874, 52460.000,    0.296,    0.504,    0.208,    0.000,   36.802,   71.923,   13.499,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,    3.000,   15.540,    3.759,    4.401,   41.688,    3.588,   86.647, 54810.000,    0.304,    0.518,    0.206,    0.000,   36.575,   70.443,   13.600,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,    4.000,   13.730,    2.582,    2.798,   39.454,    3.555,   86.548, 53400.000,    0.293,    0.503,    0.191,    0.000,   36.944,   71.978,   12.582,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,    5.000,   14.810,    3.952,    3.113,   41.430,    3.598,   89.320, 55030.000,    0.307,    0.518,    0.206,    0.000,   36.917,   70.688,   13.679,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,    6.000,   14.330,    2.479,    3.034,   41.337,    3.613,   88.067, 54730.000,    0.304,    0.515,    0.205,    0.000,   36.933,   71.115,   13.554,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,    7.000,   14.480,    3.028,    2.569,   41.404,    3.599,   89.209, 55670.000,    0.308,    0.516,    0.210,    0.000,   37.195,   70.847,   13.722,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,    8.000,   13.360,    2.713,    2.323,   37.589,    3.622,   85.266, 53570.000,    0.292,    0.509,    0.199,    0.000,   36.423,   72.203,   13.280,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,    9.000,   14.020,    3.804,    3.254,   37.266,    3.568,   87.160, 52800.000,    0.295,    0.513,    0.209,    0.000,   35.842,   71.013,   14.076,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  600.000,   10.000,   14.520,    3.587,    3.529,   40.671,    3.572,   88.377, 54370.000,    0.303,    0.517,    0.204,    0.000,   36.400,   70.598,   13.472,    0.000
NSFNET,    CF_STC,   0.600, 10000.000,  650.000,    1.000,   17.330,    5.220,    5.645,   45.406,    3.555,   89.354, 54690.000,    0.321,    0.523,    0.232,    0.000,   37.507,   69.704,   15.325,    0.000
